"cor_v","p_v","cond","meths","ex_o","ex_m","TM"
0.315002528275218,0.037279798846413,"Together","CF_S - FVA (min)",3200,3200,"TM_2"
0.237948731424687,0.119858203638176,"Together","CF_S - FVA (max)",3200,3200,"TM_2"
0.145160457781533,0.347136424701413,"Together","CF_S - FBA",3200,3200,"TM_2"
0.339210643366619,0.0242880923235296,"Together","CF_MTR - FVA (min)",3200,3200,"TM_2"
0.195215962575641,0.204121315372885,"Together","CF_MTR - FVA (max)",3200,3200,"TM_2"
0.143657681036372,0.352204269159701,"Together","CF_MTR - FBA",3200,3200,"TM_2"
0.450117917201254,0.00217140893708993,"Together","TRIMER",3200,3200,"TM_2"
0.459671271783895,0.00169484821661242,"Together","GIMME - FBA",3200,3200,"TM_2"
0.366253218316653,0.01447970795286,"Together","GIMME - FVA (min)",3200,3200,"TM_2"
0.588876810988584,2.61226531576703e-05,"Together","GIMME - FVA (max)",3200,3200,"TM_2"
0.351763235340724,0.288756529260071,"WT","CF_S - FVA (min)",3200,3200,"TM_2"
0.743992942769858,0.00865537667516807,"WT","CF_S - FVA (max)",3200,3200,"TM_2"
0.386122919665369,0.240824785837197,"WT","CF_S - FBA",3200,3200,"TM_2"
0.351763235340724,0.288756529260071,"WT","CF_MTR - FVA (min)",3200,3200,"TM_2"
0.743992942769858,0.00865537667516807,"WT","CF_MTR - FVA (max)",3200,3200,"TM_2"
0.386122919665369,0.240824785837197,"WT","CF_MTR - FBA",3200,3200,"TM_2"
0.662051122128562,0.0264711109372581,"WT","TRIMER",3200,3200,"TM_2"
0.662051122128562,0.0264711109372581,"WT","GIMME - FBA",3200,3200,"TM_2"
0.351763235340724,0.288756529260071,"WT","GIMME - FVA (min)",3200,3200,"TM_2"
0.750324605079037,0.00781061959555027,"WT","GIMME - FVA (max)",3200,3200,"TM_2"
0.653274579918488,0.0292844342158101,"I KO","CF_S - FVA (min)",3200,3200,"TM_2"
0.136555666710923,0.688890400361369,"I KO","CF_S - FVA (max)",3200,3200,"TM_2"
-0.127138034523963,0.70951081493252,"I KO","CF_S - FBA",3200,3200,"TM_2"
0.653274579918488,0.0292844342158101,"I KO","CF_MTR - FVA (min)",3200,3200,"TM_2"
0.136555666710923,0.688890400361369,"I KO","CF_MTR - FVA (max)",3200,3200,"TM_2"
-0.127138034523963,0.70951081493252,"I KO","CF_MTR - FBA",3200,3200,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","TRIMER",3200,3200,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","GIMME - FBA",3200,3200,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","GIMME - FVA (min)",3200,3200,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","GIMME - FVA (max)",3200,3200,"TM_2"
0.100503781525921,0.768742834209266,"X KO","CF_S - FVA (min)",3200,3200,"TM_2"
0.692195965741576,0.0182576408880681,"X KO","CF_S - FVA (max)",3200,3200,"TM_2"
0.805207551985099,0.00278453886499692,"X KO","CF_S - FBA",3200,3200,"TM_2"
0.100503781525921,0.768742834209266,"X KO","CF_MTR - FVA (min)",3200,3200,"TM_2"
0.602188789758441,0.049942218648426,"X KO","CF_MTR - FVA (max)",3200,3200,"TM_2"
-0.08434823356733,0.805241004082851,"X KO","CF_MTR - FBA",3200,3200,"TM_2"
-0.107889812495025,0.752191485111736,"X KO","TRIMER",3200,3200,"TM_2"
0.700649049745371,0.0163282732394972,"X KO","GIMME - FBA",3200,3200,"TM_2"
0.700649049745371,0.0163282732394972,"X KO","GIMME - FVA (min)",3200,3200,"TM_2"
0.700649049745371,0.0163282732394972,"X KO","GIMME - FVA (max)",3200,3200,"TM_2"
0.402015126103685,0.220328309777794,"A KO","CF_S - FVA (min)",3200,3200,"TM_2"
0.569766747311093,0.0672727649114373,"A KO","CF_S - FVA (max)",3200,3200,"TM_2"
0.739284126676377,0.00932544001383248,"A KO","CF_S - FBA",3200,3200,"TM_2"
0.402015126103685,0.220328309777794,"A KO","CF_MTR - FVA (min)",3200,3200,"TM_2"
0.569766747311093,0.0672727649114373,"A KO","CF_MTR - FVA (max)",3200,3200,"TM_2"
0.739284126676377,0.00932544001383248,"A KO","CF_MTR - FBA",3200,3200,"TM_2"
0,1,"A KO","TRIMER",3200,3200,"TM_2"
0.934198732993827,2.5588242922368e-05,"A KO","GIMME - FBA",3200,3200,"TM_2"
0.934198732993827,2.5588242922368e-05,"A KO","GIMME - FVA (min)",3200,3200,"TM_2"
0.934198732993827,2.5588242922368e-05,"A KO","GIMME - FVA (max)",3200,3200,"TM_2"
